,FirmID,ParentCompanyName,ACSI_15_BENCH,ACSI_16_BENCH,ACSI_16_BENCH_PADDED,ACSI_PY_PCT_CHG_BENCH,ACSI_FY_PCT_CHG_BENCH
0,1.0,Apple Inc.,78.0,79.0,79.0,1.3,14.5
1,1.0,Apple Inc.,77.0,78.0,78.0,1.3,0.0
2,2.0,"Alphabet, Inc.",76.0,77.0,77.0,1.3,22.2
3,2.0,"Alphabet, Inc.",74.0,73.0,73.0,-1.4,4.3
4,2.0,"Alphabet, Inc.",74.0,73.0,73.0,-1.4,4.3
5,3.0,Microsoft Corporation,76.0,77.0,77.0,1.3,22.2
6,3.0,Microsoft Corporation,74.0,81.0,81.0,9.5,9.5
7,3.0,Microsoft Corporation,78.0,79.0,79.0,1.3,14.5
8,3.0,Microsoft Corporation,76.0,77.0,77.0,1.3,22.2
9,4.0,Exxon Mobil Corporation,75.0,nan,75.0,2.7,-3.8
